stop_id,bus_id,name,pickup_time,address,lat,lng
151024,25106,WINTHROP RD & JAMESTOWN DR,Invalid,WINTHROP RD & JAMESTOWN DR, 30005,19.09740313910023,-70.30280280858278
168178,25106,RONALD REAGAN BLVD & HALCYON GARDEN DR,Invalid,Ronald Reagan Blvd & Halcyon Garden Dr, 30005,19.09740313910023,-70.30280280858278
133111,25107,STONEY POINT RD & PEBBLE CREEK LN,Invalid,STONEY POINT RD & PEBBLE CREEK LN,28.151488278272197,-82.35213495790958
134182,25107,CROFTON DR & ROXBURY TRCE,Invalid,CROFTON DR & ROXBURY TRCE,19.09740313910023,-70.30280280858278
134184,25107,CROFTON DR & PRESTON GLEN DR,Invalid,CROFTON DR & PRESTON GLEN DR,37.04783451194465,-87.48420735804007
139390,25107,HUDDLESTONE WAY & GLARAMARA TER,Invalid,HUDDLESTONE WAY & GLARAMARA TER, 30041,34.127004044028865,-84.20242055662641
146265,25107,HADDEN HALL CT & YORKRIDGE DR,Invalid,HADDEN HALL CT & YORKRIDGE DR,33.045600669683004,-117.06171959368129
146266,25107,BARRINGTON RUN & YORKRIDGE DR,Invalid,BARRINGTON RUN & YORKRIDGE DR,42.15391429952639,-88.13618894666433
146267,25107,RIDGEFIELD DR & WESSEX DOWNS DR,Invalid,RIDGEFIELD DR & WESSEX DOWNS DR,28.00200717262968,-82.59021688252687
146269,25107,CROFTON DR & CROFTON FARMS CT,Invalid,CROFTON DR & CROFTON FARMS CT,52.948455188304706,-0.43228582302526775
149265,25107,RIDGEFIELD DR & SURREY RUN PL,Invalid,RIDGEFIELD DR & SURREY RUN PL, 30005,51.23765587814446,-0.20570699125528336
149266,25107,CROFTON DR & OAKLEIGH PL,Invalid,CROFTON DR & OAKLEIGH PL, 30005,34.12167974842788,-84.19307781539123
149267,25107,YORKRIDGE DR & KRISTENSEN CT,Invalid,YORKRIDGE DR & KRISTENSEN CT, 30005,34.11936287704541,-84.19798952763313
134199,25108,FLINT CREEK DR & BENT CREEK WAY,Invalid,FLINT CREEK DR & BENT CREEK WAY,-34.94481455769448,138.59144266694784
134200,25108,FLINT CREEK DR & HERMITAGE DR,Invalid,FLINT CREEK DR & HERMITAGE DR,52.29925335290848,-6.4500194389102035
149270,25108,CREEK TREE LN & SPINDLETOP DR,Invalid,CREEK TREE LN & SPINDLETOP DR, 30041,19.09740313910023,-70.30280280858278
149271,25108,CREEK TREE LN & GAINESWAY CT,Invalid,CREEK TREE LN & GAINESWAY CT, 30041,41.2653336838896,-72.75172501802444
149272,25108,CREEK TREE LN & S CLEMENT RD,Invalid,S CLEMENT RD & CREEK TREE LN, 30041,19.09740313910023,-70.30280280858278
149273,25108,CREEK TREE LN & FLAT STONE DR,Invalid,CREEK TREE LN & FLAT STONE DR, 30041,19.09740313910023,-70.30280280858278
149406,25108,2380 WOOD COVE DR,Invalid,2380 WOOD COVE DR, 30041,34.124947,-84.183042
149671,25108,FLINT CREEK DR & MAIN CHANCE DR,Invalid,FLINT CREEK DR & MAIN CHANCE DR, 30041,19.09740313910023,-70.30280280858278
149706,25108,WOOD COVE DR & FOSSIL CREEK DR,Invalid,WOOD FALLS DR & FOSSIL CREEK DR, 30041,40.1740680507979,-74.79213036596775
149734,25108,WOOD FALLS DR & BUTE CLIFF TRCE,Invalid,WOOD FALLS DR & BUTE CLIFF TRCE, 30041,32.75774765872735,-95.38129415363073
149879,25108,S CLEMENT RD & HILLANDALE CIR,Invalid,S CLEMENT RD & HILLANDALE CIR, 30041,19.09740313910023,-70.30280280858278
151719,25108,CREEK TREE LN & WILLS MILL RD,Invalid,CREEK TREE LN & WILLS MILL RD, 30041,19.09740313910023,-70.30280280858278
151720,25108,2235 WOOD FALLS DR,Invalid,FOSSIL CREEK DR & WOOD COVE DR, 30041,52.24973974702805,-7.088392583705399
165306,25108,WOOD FALLS DR & STONE MEEADOW WAY,Invalid,WOOD FALLS DR & STONE MEADOW WAY, 30041,39.05371307483199,-74.75844617933035
165899,25108,605 FOWLER RD,Invalid,605 FOWLER RD, 30004,34.136873,-84.226651
166925,25108,N CLEMENT RD & BRADLEY TRL,Invalid,N CLEMENT RD & BRADLEY TRL, 30041,19.09740313910023,-70.30280280858278
169972,25108,575 FOWLER RD,Invalid,575 FOWLER RD, 30004,34.140338,-84.22439500000002
173757,25108,505 FOWLER RD,Invalid,505 FOWLER RD, 30004,34.142757,-84.22589199999999
147406,25109,1680 MARCIA OVERLOOK DR,Invalid,1680 MARCIA OVERLOOK DR, 30041,34.138737,-84.18623200000002
151607,25109,1815 MARCIA OVERLOOK DR,Invalid,1815 MARCIA OVERLOOK DR, 30041,34.141352,-84.18730900000003
151625,25109,RUTLAND PKWY & WESTMOORLAND NORTH LN,Invalid,RUTLAND PKWY & WESTMOORLAND LN, 30041,52.66966487883196,-0.7272732630372047
151774,25109,1980 MARCIA OVERLOOK DR,Invalid,1980 MARCIA OVERLOOK DR, 30041,34.140463,-84.188107
173551,25109,1405 SQUIRE LN,Invalid,1405 SQUIRE LN, 30041,34.130209,-84.17620799999997
143561,25110,750 OLD ALPHARETTA RD,Invalid,750 OLD ALPHARETTA RD, 30005,34.106995,-84.19664699999998
145980,25110,1880 MANOR VW,Invalid,1880 MNR VIEW,34.115893,-84.18061
148967,25110,2555 STRATHMORE DR,Invalid,2555 STRATHMORE DR, 30041,34.105711,-84.19032500000003
149253,25110,STRATHMORE DR & KENSINGTON CT,Invalid,STRATHMORE DR & KENSINGTON CT, 30041,41.63537714873247,-72.76870843023062
150676,25110,61 LAMBETS WAY,Invalid,61 LAMBETS WAY, 30005,34.099146,-84.19874199999998
150677,25110,WINDHAVEN DR & WOODVINE WAY,Invalid,WINDHAVEN DR & WOODVINE WAY, 30005,34.105953308392515,-84.20279888572054
150960,25110,MONTICELLO DR & BRISTOL LN,Invalid,MONTICELLO DR & BRISTOL LN, 30041,51.453802372166166,-2.5972986593842506
151055,25110,OLD ALPHARETTA RD & WALTERS CIR,Invalid,OLD ALPHARETTA RD & WALTERS CIR, 30005,34.10722480129367,-84.19453972548422
151228,25110,985 WINDHAVEN DR,Invalid,985 WINDHAVEN DR, 30005,34.104643,-84.20190600000001
151342,25110,808 OLD ALPHARETTA RD,Invalid,808 OLD ALPHARETTA RD, 30005,34.104107,-84.19908599999997
151733,25110,2345 MANOR VW,Invalid,2345 MANOR VW, 30041,34.116016,-84.18340599999999
151734,25110,2525 MANOR VW,Invalid,2525 MANOR VW, 30041,34.115963,-84.18174299999998
151735,25110,2040 MANOR VW,Invalid,2040 MANOR VW, 30041,34.116381,-84.17983200000003
164186,25110,2126 OLD ALPHARETTA RD,Invalid,2126 OLD ALPHARETTA RD, 30041,34.113093,-84.18227200000001
173074,25110,2325 OLD ALPHARETTA RD,Invalid,2325 OLD ALPHARETTA RD, 30041,34.10884,-84.18741
174137,25110,998 OLD ALPHARETTA RD,Invalid,998 OLD ALPHARETTA RD, 30005,34.102836,-84.20376199999998
175997,25110,2485 CANEY RD,Invalid,2485 CANEY RD, 30041,34.09865812373254,-84.18989723312382
139316,25111,PEACHTREE PKWY & SENTINEL CHASE WAY,Invalid,PEACHTREE PKWY & SENTINEL CHASE WAY, 30041,34.103341310577896,-84.17927865534045
147748,25111,SADDLEBROOK GLEN DR & GENTRY WALK CT,Invalid,SADDLEBROOK GLEN DR & GENTRY WALK CT, 30041,41.65002021118698,-72.7342165634036
149252,25111,CHRISTOPHER ROBIN RD & BARRINGTON TRL,Invalid,CHRISTOPHER ROBIN RD & BARRINGTON TRL, 30005,19.09740313910023,-70.30280280858278
149254,25111,3010 BROOKWATER DR,Invalid,3010 BROOKWATER DR, 30041,34.097253,-84.18571800000001
149264,25111,OLD CHURCH RD & MAJORS FARM CT,Invalid,OLD CHURCH RD & MAJORS FARM CT, 30041,54.94706364342947,-5.986584137670434
149269,25111,COMMONWEALTH TRL & COMMONWEALTH AVE,Invalid,COMMONWEALTH TRL & COMMONWEALTH AVE, 30041,34.12480142468472,-84.17505577994586
150612,25111,2420 BROOKWATER DR,Invalid,2420 BROOKWATER DR, 30005,34.097925,-84.18811
