stop_id,bus_id,name,pickup_time,address,lat,lng
150921,25118,FOWLER RD & MARSH VIEW DR,Invalid,FOWLER RD & MARSH VIEW DR, 30004,19.09740313910023,-70.30280280858278
151057,25118,BROOKVIEW DR & CANDLER WALK,Invalid,BROOKVIEW DR & CANDLER WALK,19.09740313910023,-70.30280280858278
151237,25118,ASHFORD MANOR DR & KENT PL,Invalid,ASHFORD MANOR WAY & KENT PL,51.15550250178987,0.8598012428933544
151286,25118,7130 ASHFORD MANOR WAY,Invalid,7130 ASHFORD MANOR WAY,34.16088,-84.20442300000002
151355,25118,COLLINGHAM TRCE & RAVINE FOREST DR,Invalid,COLLINGHAM TRCE & RAVINE FOREST DR, 30040,53.41398019703459,26.039309911429882
151356,25118,BROOKVIEW DR & COPELY WLK,Invalid,Brookview Dr & Copely Walk, 30040,18.762740064462577,-69.51588090509176
151357,25118,CROFTSHIRE PL & ATWOOD DR,Invalid,Croftshire Pl & Atwood Dr, 30040,34.15856823654525,-84.20870435288958
173214,25118,BENNETT PKWY & PINNACLE VW RD,Invalid,,,
173630,25118,GLOVER DR & JENNINGS CT,Invalid,GLOVER DR & JENNINGS CT, 30040,41.65002021118698,-72.7342165634036
174634,25118,BETHELVIEW DR & WESLEY DR,Invalid,BETHELVIEW DR & WESLEY DR, 30040,34.16279306657994,-84.18053822210919
176692,25118,7030 MAJORS RD,Invalid,7030 MAJORS RD, 30040,34.161037,-84.199724
133117,25119,2235 ROSE WALK DR,Invalid,2235 ROSE WALK DR,34.10006,-84.19336499999997
139389,25119,SPRINGMONTE PL & SPRINGMONTE LN,Invalid,SPRINGMONTE PL & SPRINGMONTE LN, 30041,34.10668494469712,-84.18548852205276
147322,25119,SPRINGMONTE PL & GREEN COVE CT,Invalid,SPRINGMONTE PL & GREEN COVE CT, 30041,49.637398045896376,-54.59243807941675
147323,25119,SPRING HARBOR DR & HARBOR COVE CT,Invalid,SPRING HARBOR DR & HARBOR COVE CT, 30041,41.65002021118698,-72.7342165634036
147744,25119,CROSS SPRINGS DR & MARYMOUNT DR,Invalid,CROSS SPRINGS DR & MARYMOUNT DR, 30041,19.09740313910023,-70.30280280858278
149255,25119,3070 ROCKY BROOK DR,Invalid,3070 ROCKY BROOK DR, 30005,34.09429,-84.190627
149256,25119,ROSE WALK DR & ROSE MEADOW LN,Invalid,ROSE WALK DR & ROSE MEADOW LN, 30005,43.32874930172778,5.4265037924051285
149257,25119,425 WHITE ROSE TRCE,Invalid,425 WHITE ROSE TRCE, 30005,34.09799,-84.196462
149258,25119,ROSEWOOD DR & WHITE ROSE TRCE,Invalid,ROSEWOOD DR & WHITE ROSE TRCE, 30005,35.33201372699774,-92.08128120750189
149259,25119,GLENROSE TRL & ROSEWOOD DR,Invalid,GLENROSE TRL & ROSEWOOD DR, 30005,34.09684680944389,-84.19393690335608
149260,25119,CHRISTOPHER ROBIN RD & ROBINS WALK,Invalid,CHRISTOPHER ROBIN RD & ROBINS WALK, 30005,19.09740313910023,-70.30280280858278
149261,25119,LONGPOINTE PASS & LEGEND RUN,Invalid,LONGPOINTE PASS & LEGEND RUN, 30005,34.09626656233255,-84.19973676973734
149262,25119,LONGPOINTE PASS & HONOR RUN,Invalid,LONGPOINTE PASS & HONOR RUN, 30005,34.09463413389829,-84.1989414217067
149263,25119,2325 CROSS SPRINGS DR,Invalid,2325 CROSS SPRINGS DR, 30041,34.10992,-84.18393500000002
149419,25119,5460 HASTINGS TER,Invalid,5460 HASTINGS TER, 30005,34.094861,-84.201593
149766,25119,PLYMOUTH PL & HASTINGS TER,Invalid,PLYMOUTH PL & HASTINGS TER, 30005,50.371412300596006,-4.1424451768398285
151782,25119,VALLEY BROOK DR & SHADOW BROOK WAY,Invalid,VALLEY BROOK DR & SHADOW BROOK WAY, 30005,35.40235735519192,-97.48123218399604
163552,25119,305 ROSEWOOD DR,Invalid,,,
147312,25120,RIVES DR & KENNEMORE DR,Invalid,RIVES DR & KENNEMORE DR, 30004,34.131217813748954,-84.22344777382216
150096,25120,2515 MONET DR,Invalid,2515 MONET DR, 30041,34.130918,-84.20249799999999
150097,25120,2635 MONET DR,Invalid,2635 MONET DR, 30041,34.132173,-84.20257500000002
150683,25120,2405 MONET DR,Invalid,2405 MONET DR, 30041,34.129405,-84.20242999999999
150823,25120,5870 RIVES DR,Invalid,5870 RIVES DR, 30004,34.13078,-84.22288300000002
151421,25120,MONET DR & APREMONT DR,Invalid,MONET DR & APREMONT DR, 30041,19.782798916096805,-71.61200596755384
163732,25120,SHEPHERDS PD & BRYSON LN,Invalid,,,
163733,25120,SHEPHERDS PD & KENNEMORE DR,Invalid,,,
163735,25120,SHEPHERDS PD & ADERHOLD WAY,Invalid,,,
169762,25120,5335 FAIRMONT GLEN,Invalid,5335 FAIRMONT GLN, 30004,34.135522,-84.22212400000001
149847,25121,ATLANTA HWY & WINDSOR LN,Invalid,ATLANTA HWY & WINDSOR LN, 30004,34.133230610239345,-84.25252086232092
150885,25121,WESBOUROUGH PL & SONOMA CHSE,Invalid,WESBOUROUGH PL & SONOMA CHSE,34.113408676936935,-84.25686399230773
150886,25121,WESBOUROUGH PL & BENZIGER TRL,Invalid,WESBOUROUGH PL & BENZIGER TRL,34.10979430744577,-84.25521442892546
166495,25121,CRESTED MOSS DR & APPLE ROSE DR,Invalid,CRESTED MOSS DR & APPLE ROSE DR, 30004,59.41133515264586,10.666414566499498
173561,25121,VIRGINIA BROOK LN & STELLA DR,Invalid,VIRGINIA BROOK LN & STELLA DR, 30040,38.946498925543175,-78.43917421996593
146263,25122,CARRICK RD & WHITFIELD AVE,Invalid,CARRICK RD & WHITFIELD AVE,1.5376057022252974,30.235590456187197
149148,25122,ATLANTA HWY & CROSS CREEK CT,Invalid,ATLANTA HWY & CROSS CREEK CT, 30040,46.32835350727707,-66.69585371507043
149917,25122,CROSS CREEK DR & AMBERGLEN CT,Invalid,CROSS CREEK DR & AMBERGLEN CT,46.32835350727707,-66.69585371507043
165305,25122,WILD VIOLET WAY & WILD THORNE CT,Invalid,WILD VIOLET WAY & WILD THORNE CT, 30040,41.65002021118698,-72.7342165634036
173339,25122,3116 CROSS CREEK DR,Invalid,3116 CROSS CREEK DR, 30040,34.157125,-84.18942400000003
174134,25122,WILD VIOLET DR & PRAIRIE LN,Invalid,WILD VIOLET DR & PRAIRIE LN, 30040,19.09740313910023,-70.30280280858278
175445,25122,7310 WILD VIOLET DR,Invalid,,,
175650,25122,7525 WILD VIOLET DR,Invalid,7525 Wild Violet Dr, 30040,34.165761,-84.21352300000001
175840,25122,7685 WILD VIOLET DR,Invalid,7685 Wild Violet Dr, 30040,34.166168,-84.21673099999998
138011,25123,SHILOH SPRINGS RD & SHILOH SPRINGS RD,Invalid,SHILOH SPRINGS RD & SHILOH SPRINGS RD, 30040,19.09740313910023,-70.30280280858278
149705,25123,4760 SHILOH CROSSING WAY,Invalid,4760 SHILOH CROSSING WAY, 30040,34.143169,-84.19923499999999
150924,25123,5620 SHILOH WOODS DR,Invalid,5620 SHILOH WOODS DR, 30040,34.130445,-84.21340199999997
150925,25123,6140 SHILOH WOODS DR,Invalid,6140 SHILOH WOODS DR, 30040,34.128948,-84.212108
150926,25123,5285 SHILOH WOODS DR,Invalid,5285 SHILOH WOODS DR, 30040,34.132243,-84.211142
175611,25123,625 UNION HILL RD,Invalid,625 UNION HILL RD, 30004,34.13146,-84.226946
175654,25123,615 UNIION HILL RD,Invalid,615 UNION HILL RD, 30004,34.131699,-84.226697
133113,25124,2235 STONEY POINT FARM RD,Invalid,2235 STONEY POINT FARM RD,34.126491,-84.19390799999996
143644,25124,STONEY POINT RD & RAVENS RIDGE DR,Invalid,STONEY POINT RD & RAVENS RIDGE DR, 30041,45.89362263047396,-61.06068167835474
145968,25124,2275 MINDY LN,Invalid,2275 MINDY LN,34.126968,-84.195626
145970,25124,2115 STONEY POINT FARM RD,Invalid,2115 STONEY POINT FARM RD,34.12882,-84.19473299999999
146275,25124,WOODCREEK DR & CLUB LAND TRAIL,Invalid,WOODCREEK DR & CLUB LAND TRAIL,19.09740313910023,-70.30280280858278
149268,25124,STONEY POINT RD & LANGSTRATH LN,Invalid,STONEY POINT RD & LANGSTRATH LN, 30041,42.30485042948978,-82.54797041416168
150752,25124,STONEY POINT RD & LAURENBROOKE CT,Invalid,STONEY POINT RD & LAURENBROOKE CT, 30041,42.30485042948978,-82.54797041416168
150834,25124,1785 STONEY POINT RD,Invalid,1785 STONEY POINT RD, 30041,34.133318,-84.18924500000003
150933,25124,1825 STONEY POINT RD,Invalid,1825 STONEY POINT RD, 30041,34.132755,-84.18845899999997
150938,25124,1757 STONEY POINT RD,Invalid,1757 STONEY POINT RD, 30041,34.133934,-84.18857500000001
173287,25124,1525 WOODCREEK DR,Invalid,1525 WOODCREEK DR, 30041,34.135105,-84.18272100000002
138021,25125,5990 SOMERSBY CIR,Invalid,5990 SOMERSBY CIR,34.124884,-84.20488999999998
144087,25125,157 FOWLER HILL RD,Invalid,157 FOWLER HILL RD, 30004,34.144716,-84.21905300000003
144617,25125,635 MONTGOMERY AVE,Invalid,635 MONTGOMERY AVE,34.13812,-84.216275
147736,25125,5810 SOMERSBY CIR,Invalid,5810 SOMERSBY CIR,34.122394,-84.20540499999998
150101,25125,MONTGOMERY AVE & LOCKWOOD PL,Invalid,MONTGOMERY AVE & LOCKWOOD PL, 30004,32.377711276587945,-86.30907755345106
150682,25125,6010 STANSBURY SMT,Invalid,6010 STANSBURY SMT,34.122061,-84.20259799999997
163699,25125,UNION HILL RD & HAVEN CREST LN,Invalid,,,
168990,25125,173 FOWLER HILL RD,Invalid,173 FOWLER HILL RD, 30004,34.144495,-84.21733499999999
147680,25126,WATERBROOKE XING & WOODBINE WAY,Invalid,WATERBROOKE XING & WOODBINE WAY, 30004,34.15940310779188,-84.22567160512818
147734,25126,5265 BRIERSTONE DR,Invalid,5265 BRIERSTONE DR,34.162507,-84.226451
148107,25126,6962 POST RD,Invalid,6962 POST RD, 30040,34.165748,-84.23675100000003
151534,25126,ROCKING HORSE LN & ROCKING HORSE LN,Invalid,ROCKING HORSE LN & ROCKING HORSE LN, 30040,41.92639910411392,8.737602643668652
163728,25126,WATERBROOK XING & BREEZEWOOD CIR,Invalid,,,
163729,25126,WATERBROOK XING & DUCOTE TRL,Invalid,,,
164567,25126,7180 POST PARK WAY,Invalid,7180 Post Park Way,34.162654,-84.23448000000002
175018,25126,5035 HAZELWOOD CT,Invalid,5035 HAZELWOOD DRIVE,34.161022,-84.22486000000004
175905,25126,4625 ATLANTA HWY,Invalid,4625 ATLANTA HWY, 30004,34.157149,-84.22945900000002
176256,25126,DERBY CT & DERBY TRL,Invalid,DERBY CT & DERBY TRL, 30040,41.322361121038114,-73.08903258293867
143617,25127,584 TIDWELL RD,Invalid,584 TIDWELL RD, 30004,34.121296,-84.25178299999999
144093,25127,TIDWELL RD & PORT ST,Invalid,TIDWELL RD & Port St, 30004,-7.034916962048678,29.763805903494358
149161,25127,TIDWELL RD & FERNWOOD CT,Invalid,TIDWELL RD & FERNWOOD CT, 30004,41.26926524791957,-72.36647296696901
150242,25127,TIDWELL DR & MELILOT LN,Invalid,TIDWELL DR & MELILOT LN, 30004,34.10767112351971,-84.2437990051726
150416,25127,705 TIDWELL RD,Invalid,705 TIDWELL RD, 30004,34.115843,-84.247571
166547,25127,600 TIDWELL RD,Invalid,600 TIDWELL RD, 30004,34.120655,-84.251776
173069,25127,748 TIDWELL RD,Invalid,748 TIDWELL RD, 30004,34.113295,-84.24994800000002
173368,25127,536 TIDWELL RD,Invalid,536 TIDWELL RD, 30004,34.122855,-84.25106099999999
175637,25127,210 MARTIN DR,Invalid,210 MARTIN DR, 30004,34.129177,-84.24861799999996
175988,25127,THORNBOROUGH DR & BENDLETON TRCE,Invalid,THORNBOROUGH DR & BENDLETON TRCE, 30004,19.09740313910023,-70.30280280858278
176584,25127,695 TIDWELL RD,Invalid,695 TIDWELL RD, 30004,34.116818,-84.24768799999998
127442,25128,1505 GRAND JCT,Invalid,,,
130929,25128,OVERLAND XING & TRELLIS PL,Invalid,OVERLAND XING & TRELLIS PL,47.18588499264004,9.54522080719471
130930,25128,GRAND JCT & DRAYTON CT,Invalid,GRAND JCT & DRAYTON CT,51.6636416480703,-1.1381779830733194
130931,25128,GRAND JCT & OVERLAND XING,Invalid,GRAND JCT & OVERLAND XING,47.32723380536571,130.26847667992115
131218,25128,TRELLIS PL & WEDGEFIELD CT,Invalid,TRELLIS PL & WEDGEFIELD CT,41.65002021118698,-72.7342165634036
131219,25128,TRELLIS PL & TRELLIS XING,Invalid,TRELLIS PL & TRELLIS XING,41.6536715518948,-80.82922135919273
131221,25128,CHADBOURNE TRL & SPRING FIELD CT,Invalid,CHADBOURNE TRL & SPRING FIELD CT,-6.346827109946807,106.3553651545351
132533,25128,CHADBOURNE TRL & RIDGELAND PL,Invalid,CHADBOURNE TRL & RIDGELAND PL,34.12401978157452,-84.24459250455618
132535,25128,CHADBOURNE TRL & RIDGE SPRING CT,Invalid,CHADBOURNE TRL & RIDGE SPRING CT,40.346325003875776,-77.26146891234436
135867,25128,OVERLAND XING & FIRESIDE PL,Invalid,OVERLAND XING & FIRESIDE PL,,16.41844242660629,-61.5288807079196
136743,25128,HIGHLAND PASS & TWO ROCK CT,Invalid,HIGHLAND PASS & TWO ROCK CT,,38.266306061944185,-122.79221333563328
137911,25128,GRAND JCT & HIGHLAND PASS,Invalid,GRAND JCT & HIGHLAND PASS, 30004,42.28537599011557,-71.15671992301941
137926,25128,OVERLAND XING & FAIRWIND CT,Invalid,OVERLAND XING & FAIRWIND CT, 30004,41.65002021118698,-72.7342165634036
141007,25128,CHADBOURNE TRL & HIGHLAND PASS,Invalid,CHADBOURNE TRL & HIGHLAND PASS, 30004,42.28537599011557,-71.15671992301941
142753,25128,2720 HIGHLAND PASS,Invalid,2720 Highland Pass,34.123075,-84.24124899999998
145976,25128,FAIRCREST LN & FAIRCREST XING,Invalid,FAIRCREST LN & FAIRCREST LN,47.22213685397031,-122.51747170493411
