150468	25106	DENMARK HS	RONALD REAGAN BLVD & HALCYON WAY	7:19:00 AM	Ronald Reagan Blvd & Halcyon Way, 30005
150887	25106	DENMARK HS	NANCY REAGAN DR & VENUE WAY	7:20:00 AM	NANCY REAGAN DR & VENUE WAY, 30005
150888	25106	DENMARK HS	1625 OAK FARM DR	7:29:00 AM	1625 OAK FARM DR
151024	25106	DENMARK HS	WINTHROP RD & JAMESTOWN DR	7:23:00 AM	WINTHROP RD & JAMESTOWN DR, 30005
168178	25106	DENMARK HS	RONALD REAGAN BLVD & HALCYON GARDEN DR	7:27:00 AM	Ronald Reagan Blvd & Halcyon Garden Dr, 30005
133111	25107	DENMARK HS	STONEY POINT RD & PEBBLE CREEK LN	7:44:00 AM	STONEY POINT RD & PEBBLE CREEK LN
134182	25107	DENMARK HS	CROFTON DR & ROXBURY TRCE	7:34:00 AM	CROFTON DR & ROXBURY TRCE
134184	25107	DENMARK HS	CROFTON DR & PRESTON GLEN DR	7:36:10 AM	CROFTON DR & PRESTON GLEN DR
139390	25107	DENMARK HS	HUDDLESTONE WAY & GLARAMARA TER	7:45:00 AM	HUDDLESTONE WAY & GLARAMARA TER, 30041
146265	25107	DENMARK HS	HADDEN HALL CT & YORKRIDGE DR	7:38:00 AM	HADDEN HALL CT & YORKRIDGE DR
146266	25107	DENMARK HS	BARRINGTON RUN & YORKRIDGE DR	7:39:00 AM	BARRINGTON RUN & YORKRIDGE DR
146267	25107	DENMARK HS	RIDGEFIELD DR & WESSEX DOWNS DR	7:30:10 AM	RIDGEFIELD DR & WESSEX DOWNS DR
146269	25107	DENMARK HS	CROFTON DR & CROFTON FARMS CT	7:35:00 AM	CROFTON DR & CROFTON FARMS CT
149265	25107	DENMARK HS	RIDGEFIELD DR & SURREY RUN PL	7:29:00 AM	RIDGEFIELD DR & SURREY RUN PL, 30005
149266	25107	DENMARK HS	CROFTON DR & OAKLEIGH PL	7:33:00 AM	CROFTON DR & OAKLEIGH PL, 30005
149267	25107	DENMARK HS	YORKRIDGE DR & KRISTENSEN CT	7:40:00 AM	YORKRIDGE DR & KRISTENSEN CT, 30005
134199	25108	DENMARK HS	FLINT CREEK DR & BENT CREEK WAY	7:38:00 AM	FLINT CREEK DR & BENT CREEK WAY
134200	25108	DENMARK HS	FLINT CREEK DR & HERMITAGE DR	7:39:00 AM	FLINT CREEK DR & HERMITAGE DR
149270	25108	DENMARK HS	CREEK TREE LN & SPINDLETOP DR	7:27:00 AM	CREEK TREE LN & SPINDLETOP DR, 30041
